	shaking_mean	t00_mean	theta	prob	log2FC	length
HVO_RS13545	770.921026607746	1441.38557510849	-0.305143637431078	0.422402973974492	-0.902801329845773	389
HVO_RS13795	4393.15322671836	3873.10808277297	0.104404765108111	0.293307062446234	0.181765057679443	305
HVO_RS13805	3461.58162183456	2834.86659343734	0.100298593765306	0.287689815437473	0.288150521676766	197
HVO_RS13810	1212.82461975777	583.243689155926	0.318991369657897	0.448752945705182	1.05620024785417	572
HVO_RS14080	33.1038910170846	52.0063129464189	-0.114382219378731	0	-0.651685959110645	1964
HVO_RS14085	306.66660193995	301.748716461184	0.0042302113704877	0.130076599482967	0.0233234216976575	473
HVO_RS14205	216.532682691662	1053.46373986168	-0.448795152675787	0.770510947180296	-2.28248395567839	593
HVO_RS14460	112.210803695476	436.866572545814	-0.352166571357217	0.587345440448233	-1.96098113436733	461
HVO_RS14600	614.423502060617	256.918780819319	0.280569843913383	0.430683661100961	1.25792104563106	932
HVO_RS14635	472.053475471578	1193.37257674331	-0.322902586101353	0.488179871027215	-1.33802232350863	620
HVO_RS14640	185.123556881962	97.5151343573014	0.147383910435277	0.343875570395851	0.924790441380171	1112
HVO_RS14935	354.158381559247	217.877170088245	0.128380740335177	0.323458256389047	0.700879651829413	818
HVO_RS14985	213.001008955394	2187.77089639102	-0.699804365435002	0.920871798050447	-3.36052949743648	266
HVO_RS15030	423.829510144794	3199.74491611555	-0.682279006345411	0.91813798594611	-2.91640095053133	197
HVO_RS15300	196.336256045465	950.351653068541	-0.453330546421898	0.775772236407376	-2.27513483442372	707
HVO_RS15530	219.768094411525	1223.6387284054	-0.497553353257533	0.822007119225575	-2.47712381592124	512
HVO_RS15550	158.656250184265	1093.28704448143	-0.527885233797983	0.849047811738619	-2.78469597118021	509
HVO_RS15585	3296.06893859905	4725.61500560777	-0.192229477825931	0.063775845639266	-0.519755680800738	353
HVO_RS15625	788.72428542621	649.72912854488	0.060812883195734	0.227871341608126	0.279682679757914	932
HVO_RS15645	69.0547365477212	1347.44844087813	-0.758098987063465	0.926270596460144	-4.28634588607453	416
HVO_RS15650	10.6887045021632	257.608086550086	-0.667633594547062	0.915439313050537	-4.59101897115771	1919
HVO_RS15690	NA	NA	NA	NA	NA	632
HVO_RS15710	62.053793737887	98.9428316496442	-0.111229118122625	0.00011262237971299	-0.673075774591238	1169
