	t00_mean	t04_mean	theta	prob	log2FC	length
HVO_RS15710	40.608651940917	46.1728268757641	-0.0535333620152613	0.0231564078024027	-0.1852569265136	1169
HVO_RS15770	4235.34730556038	7702.44542515914	-0.548011609476479	0.898692301449236	-0.862836277427994	374
HVO_RS15840	383.242876320562	84.0064466812208	0.570641971795439	0.943492317360444	2.18968702534033	398
HVO_RS15990	96.3540886123005	126.647392121532	-0.138442206464268	0.165058188240277	-0.394399578788856	1241
HVO_RS16010	182.325801235408	89.9266046861079	0.268777534286461	0.679172216962139	1.01969883033486	803
HVO_RS16125	1050.16876424912	2417.77063130449	-0.763502469223064	0.960360638569416	-1.20305619516585	377
HVO_RS16415	203.364948613424	129.669490546956	0.196408751992733	0.518439202752404	0.649231968776008	893
HVO_RS16505	1997.48160076683	1868.58999972253	0.057434998168878	0.10390642182077	0.096232162147314	188
HVO_RS16635	16396.7183891712	41311.6886293953	-0.923828900281908	0.970482746064866	-1.33314292680653	188
HVO_RS16710	NA	NA	NA	NA	NA	326
HVO_RS16735	153.287783278692	303.390396645122	-0.404262415880183	0.780569171333807	-0.984932698273846	917
HVO_RS16740	184.47957609133	736.296459778665	-0.650480321278089	0.932915293792294	-1.99682566184637	626
HVO_RS16790	147.405471804209	171.885489488885	-0.0736992257025938	0.0485994800331304	-0.221657678786951	569
HVO_RS16820	2280.88461265471	4741.01879737346	-0.878460023682726	0.969680539967729	-1.05560364892527	209
HVO_RS16925	151.020460173845	12.7654425153302	0.792702389669875	0.974672052939382	3.5644285634786	1010
HVO_RS16965	92.4253477661097	66.5778376577096	0.138797755837854	0.340675724277164	0.473246552010074	1469
HVO_RS16970	309.073788126802	180.321596233384	0.230896776781894	0.60490669746345	0.777379115938598	497
HVO_RS16975	333.803299588003	61.0682137507615	0.79094697448427	0.974800378887868	2.45050466357564	464
HVO_RS16980	188.265028235939	9.21659964303755	0.846747480866466	0.972988481239768	4.3523866389423	644
HVO_RS16985	313.491691272312	41.5926401748096	0.809117349759517	0.973716035888115	2.91402703568813	554
HVO_RS16990	602.316628678402	232.295017193966	0.557739243217691	0.941026102600637	1.3745638810199	455
HVO_RS17000	398.626346615219	172.229666177109	0.433801452924839	0.906472199388983	1.21070340095762	536
HVO_RS17005	409.232990265839	104.555435497236	0.584932093195408	0.945981081094799	1.9686543875471	392
HVO_RS17010	1156.75750951564	89.8449825327728	1.16127347513906	0.971322191181199	3.68650471700317	176
HVO_RS17015	439.33845477892	163.824600574339	0.624282640747075	0.953683856113299	1.42318076810547	518
HVO_RS17020	171.062665457228	31.2087928672904	0.590831708872073	0.946986779349707	2.45450046392485	743
HVO_RS17025	420.191903527206	50.6758848888768	0.955495325925549	0.979586928353783	3.0516770827085	356
HVO_RS17030	332.019549028553	116.645401210999	0.435639547264375	0.907455483500642	1.50913875908314	398
HVO_RS17040	574.1203334743	358.521460234492	0.329834316539071	0.783144293234814	0.67929367430269	431
HVO_RS17045	2999.95164457118	1676.28849736671	0.404265353977363	0.885439966634512	0.839668781280047	212
HVO_RS17050	176.29532849551	53.4760612899296	0.539439166484193	0.937069473593498	1.72102913175748	914
HVO_RS17055	452.476137637876	167.278881208202	0.626137372865053	0.954140519441756	1.43558639232164	461
