	t02_mean	t04_mean	theta	prob	log2FC	length	P	locus_tag
HVO_RS12955	151.232285022526	3.05208545196697	1.07289905525806	0.981145068069964	5.63082699315265	734	0.0188549319300357	HVO_RS12955
HVO_RS13045	359.21534237213	418.317303446003	-0.0753404138399428	0.0533121990710966	-0.219748705392714	431	0.946687800928903	HVO_RS13045
HVO_RS13100	273.001726233834	378.61250242604	-0.170421966817561	0.283559038465802	-0.471811978494977	683	0.716440961534198	HVO_RS13100
HVO_RS13115	409.934255892906	408.338086145135	0.00194640752621497	0.00455801978062076	0.00562841729331732	854	0.995441980219379	HVO_RS13115
HVO_RS13545	236.951867644878	419.3901436653	-0.194131813493673	0.358257946500243	-0.823698923928995	389	0.641742053499757	HVO_RS13545
HVO_RS13795	2066.87836483076	8597.24854350119	-1.30243378812123	0.986916159781382	-2.05642152563139	305	0.013083840218618	HVO_RS13795
HVO_RS13805	1171.89806572413	1118.59573950585	0.0409025520269656	0.0548433233327901	0.0671583458971765	197	0.94515667666721	HVO_RS13805
HVO_RS13810	456.657288966983	969.089215814008	-0.53200487383534	0.91836078277076	-1.08551762728637	572	0.0816392172292403	HVO_RS13810
HVO_RS14080	86.5513552133572	117.653579364962	-0.121215353889935	0.142931789276827	-0.442916897748952	1964	0.857068210723173	HVO_RS14080
HVO_RS14085	264.795967634952	25.5723708303157	0.595605909759633	0.956411718211739	3.37222332762646	473	0.0435882817882614	HVO_RS14085
HVO_RS14205	276.285580965499	63.2578244524579	0.530315786294587	0.94158247514898	2.12684442647138	593	0.05841752485102	HVO_RS14205
HVO_RS14460	400.925343073108	199.579166588636	0.325444497613908	0.79581791813613	1.0063724848647	461	0.20418208186387	HVO_RS14460
HVO_RS14600	239.214269466788	296.156638832707	-0.111522038639852	0.120488672910629	-0.308056975964882	932	0.879511327089371	HVO_RS14600
HVO_RS14635	603.548725831418	1319.72993139165	-0.522715360206945	0.915046407032926	-1.12870057491038	620	0.0849535929670739	HVO_RS14635
HVO_RS14640	122.577574112049	16.8668569695627	0.549416371262266	0.945346199565635	2.86143199150684	1112	0.0546538004343649	HVO_RS14640
HVO_RS14935	178.330368168672	22.3869348555035	0.636876978379851	0.964244490779221	2.99382348494222	818	0.0357555092207791	HVO_RS14935
HVO_RS14985	669.099054331426	142.689180972404	0.611620309495421	0.960026141119324	2.22934385476135	266	0.0399738588806757	HVO_RS14985
HVO_RS15030	746.77210193131	659.174809660037	0.0557075901657828	0.0866047503862176	0.180006921028008	197	0.913395249613782	HVO_RS15030
HVO_RS15300	397.283107896398	276.91216572028	0.2099685954568	0.544037265572287	0.520739014957676	707	0.455962734427713	HVO_RS15300
HVO_RS15530	133.905555938777	376.848694983295	-0.344061917555592	0.739682738398609	-1.49276957522347	512	0.260317261601391	HVO_RS15530
HVO_RS15550	420.057570950867	357.698402237004	0.0806516794716307	0.150305821446792	0.231843395741187	509	0.849694178553208	HVO_RS15550
HVO_RS15585	2767.95459064909	701.740209813522	0.70564613429899	0.971829605645064	1.97981133868328	353	0.0281703943549357	HVO_RS15585
HVO_RS15625	197.885827358398	32.2719123190105	0.657735100321779	0.966445839284057	2.61631731537963	932	0.0335541607159432	HVO_RS15625
HVO_RS15645	405.993141832468	103.780357129542	0.503384915445302	0.936651205073103	1.96792195153676	416	0.0633487949268966	HVO_RS15645
HVO_RS15650	81.7363004941492	4.8869059276065	0.784510777629665	0.980820807622028	4.06398370807888	1919	0.0191791923779716	HVO_RS15650
HVO_RS15710	175.449114983355	55.3968715558891	0.452725507766189	0.922778158073259	1.66317626044411	1169	0.0772218419267413	HVO_RS15710
HVO_RS15770	4709.79887010472	9186.17530347255	-0.590825956519753	0.922432735902226	-0.963798863855924	374	0.0775672640977739	HVO_RS15770
HVO_RS15840	404.202692302398	100.248309032027	0.488844992600299	0.933632763589995	2.01150102941334	398	0.0663672364100054	HVO_RS15840
HVO_RS15990	163.875965945807	148.771313243959	0.0399605723391504	0.0530273567180879	0.139507917958173	1241	0.946972643281912	HVO_RS15990
HVO_RS16010	246.819512328104	104.767242764657	0.342965661403705	0.821980755120685	1.2362687467376	803	0.178019244879315	HVO_RS16010
HVO_RS16125	1125.42262499689	2856.47424957425	-0.876375877843075	0.949632402525205	-1.34376865233263	377	0.0503675974747951	HVO_RS16125
HVO_RS16415	259.674920594131	154.048781027648	0.240719245326667	0.630806389562443	0.75331941872287	893	0.369193610437557	HVO_RS16415
HVO_RS16505	2629.22202190898	2146.56586845935	0.162867080609195	0.393051972200615	0.292605530684734	188	0.606948027799385	HVO_RS16505
HVO_RS16635	21987.9910885092	48197.7766305	-0.78507468671052	0.953697435570216	-1.13225079650645	188	0.0463025644297835	HVO_RS16635
HVO_RS16735	321.494941846492	357.042603730287	-0.0644620537931543	0.0376955882115567	-0.151300193102153	917	0.962304411788443	HVO_RS16735
HVO_RS16740	489.431800626842	869.533308034352	-0.428467371066753	0.853366078469757	-0.829133448984142	626	0.146633921530243	HVO_RS16740
HVO_RS16790	356.637149965303	203.829959885316	0.236909457078373	0.620906318297646	0.807090871398656	569	0.379093681702354	HVO_RS16790
HVO_RS16820	1908.69578062388	5623.32351735148	-1.41118729740629	0.999818007440789	-1.55883587376855	209	0.000181992559211253	HVO_RS16820
HVO_RS16925	179.241523057718	14.8898130105534	0.782909906207773	0.980789596491167	3.58950734910248	1010	0.0192104035088325	HVO_RS16925
HVO_RS16965	135.152541288285	78.9511553265792	0.192425092128416	0.488902681424458	0.775556356346812	1469	0.511097318575542	HVO_RS16965
HVO_RS16970	395.958660526453	223.411664151283	0.212053700871659	0.550371616596853	0.82564530595567	497	0.449628383403147	HVO_RS16970
HVO_RS16975	454.282140789383	71.8776376130619	0.753465660639412	0.978971149879092	2.6599736917955	464	0.0210288501209078	HVO_RS16975
HVO_RS16980	259.719799908852	11.582270291063	0.808918085104537	0.980931596858941	4.48696602793462	644	0.0190684031410593	HVO_RS16980
HVO_RS16985	421.170218381314	51.5836636526761	0.752871586166643	0.978906875730085	3.02941727756077	554	0.0210931242699147	HVO_RS16985
HVO_RS16990	751.169862682834	271.612067464646	0.630456959361182	0.963362107011118	1.46759160392471	455	0.0366378929888816	HVO_RS16990
HVO_RS17000	500.090741680516	210.781906603124	0.395864544390919	0.886145444872389	1.24643886409411	536	0.113854555127611	HVO_RS17000
HVO_RS17005	555.767189185658	129.099735165508	0.568446204854347	0.949682097813512	2.10599462358827	392	0.0503179021864884	HVO_RS17005
HVO_RS17010	1609.79536716682	98.1267644034465	1.21641013048291	0.971278623422294	4.03608680825814	176	0.0287213765777059	HVO_RS17010
HVO_RS17015	493.319904154165	195.721946471888	0.470178633800884	0.928792285539527	1.33371796175483	518	0.0712077144604729	HVO_RS17015
HVO_RS17020	234.004892518089	36.6716728782325	0.583696776035023	0.953466030139644	2.67380070851862	743	0.0465339698603561	HVO_RS17020
HVO_RS17025	588.930381782802	59.3901181027888	0.937020166722074	0.982985265211037	3.30980229462477	356	0.0170147347889625	HVO_RS17025
HVO_RS17030	467.621772147547	135.805712710306	0.467868454814529	0.928090758684772	1.78379793403771	398	0.0719092413152279	HVO_RS17030
HVO_RS17040	738.401310901666	422.826595455486	0.399067787889858	0.889101819931372	0.804338990295729	431	0.110898180068628	HVO_RS17040
HVO_RS17045	2835.32983664598	1978.36822366997	0.284068699770472	0.726045946577053	0.519205602411849	212	0.273954053422947	HVO_RS17045
HVO_RS17050	236.388026361672	63.6885554776241	0.511069420972356	0.938092086287253	1.89205090566227	914	0.0619079137127468	HVO_RS17050
HVO_RS17055	576.526712884343	200.541058645798	0.551480526224616	0.945787302151793	1.52348981213163	461	0.0542126978482068	HVO_RS17055
HVO_RS17060	542.445473103591	371.883209831457	0.194170065298925	0.494504101235933	0.544628511272473	422	0.505495898764067	HVO_RS17060
HVO_RS17065	303.30802786552	91.3917454711303	0.492854134729091	0.934515705030376	1.73064791163813	725	0.0654842949696242	HVO_RS17065
HVO_RS17070	816.054250763533	215.341329317536	0.603023497881615	0.95815572158643	1.92203982995085	251	0.0418442784135695	HVO_RS17070
HVO_RS17075	253.559531232476	69.2543385579927	0.455379491023014	0.92380750114047	1.87234814669513	746	0.0761924988595296	HVO_RS17075
HVO_RS17080	186.24438146917	80.4538965015554	0.290939779443169	0.738647007820683	1.2109627040875	1016	0.261352992179317	HVO_RS17080
HVO_RS17085	469.316297517523	1562.80083940965	-0.806052664093124	0.952505896797639	-1.73550147003404	842	0.0474941032023614	HVO_RS17085
HVO_RS17200	198.152110862984	80.5273774999507	0.388200881737837	0.878599269907921	1.29905708039249	1259	0.121400730092079	HVO_RS17200
HVO_RS17370	134.999118262586	49.3012289916485	0.37902829684025	0.868710674862332	1.45325446846729	1649	0.131289325137668	HVO_RS17370
HVO_RS17375	183.410166810771	13.3133498450031	0.745180606580268	0.977982501648127	3.78412808631183	917	0.0220174983518726	HVO_RS17375
HVO_RS17380	533.368805513072	38.1510681495871	0.840029918150912	0.981604663055322	3.8053380950597	320	0.0183953369446775	HVO_RS17380
HVO_RS17530	420.301341878987	373.078346540632	0.0701100886506063	0.122218684290207	0.171945433936177	686	0.877781315709793	HVO_RS17530
HVO_RS20305	8852.83765069114	31098.5119007211	-1.43429948861938	0.999964552579101	-1.81263367767223	176	3.54474208991151e-05	HVO_RS20305
HVO_RS17855	7203.76243024893	18954.2727182976	-0.947376832139202	0.959334423159534	-1.39570059175705	230	0.0406655768404665	HVO_RS17855
HVO_RS17925	1511.97926895251	2625.91384666652	-0.478100315433011	0.888346086481565	-0.796381225159261	362	0.111653913518435	HVO_RS17925
HVO_RS17930	2238.33535558205	3350.32798829695	-0.395550127923742	0.821971485983758	-0.581876136182777	224	0.178028514016242	HVO_RS17930
HVO_RS17935	2389.20684525213	3685.52303379136	-0.475613263849078	0.886598167980938	-0.625337614683794	200	0.113401832019062	HVO_RS17935
HVO_RS17940	381.411788331182	82.1661595718509	0.470922508055986	0.929012833966643	2.21473319165013	464	0.0709871660333566	HVO_RS17940
HVO_RS17950	160.484551731598	17.8931753853734	0.552138739794852	0.945929486397413	3.16495308905621	1073	0.0540705136025869	HVO_RS17950
HVO_RS17980	1233.05005105197	2890.00114860037	-0.861262227656374	0.949260609074771	-1.22883870437493	356	0.0507393909252294	HVO_RS17980
HVO_RS18000	1862.98179599387	5593.53249240165	-1.36832438340437	0.998055500999913	-1.58614610121486	266	0.0019444990000872	HVO_RS18000
HVO_RS18005	10508.4568467537	54087.7460631163	-2.10408030555886	1	-2.36375095200069	179	0	HVO_RS18005
HVO_RS18015	1690.00513570544	2299.98837529533	-0.243320854711001	0.504991679697568	-0.444598938777523	341	0.495008320302432	HVO_RS18015
HVO_RS18020	291.099057663749	288.232611268836	0.00552960136964092	0.00689919759786795	0.0142765947998161	1046	0.993100802402132	HVO_RS18020
HVO_RS18025	524.817656203356	497.784738099129	0.0355831796203794	0.0449351366143261	0.0762942582236508	638	0.955064863385674	HVO_RS18025
HVO_RS18030	4657.06395194634	5902.73378994414	-0.177825859271667	0.306904733660545	-0.34196258476069	479	0.693095266339455	HVO_RS18030
HVO_RS18105	331.161066909505	313.017959460856	0.0278682468423829	0.0321553274349543	0.081287637339679	782	0.967844672565046	HVO_RS18105
HVO_RS18110	193.31875182243	140.700270323929	0.126584379864317	0.28118159439718	0.45835648464431	1199	0.71881840560282	HVO_RS18110
HVO_RS18115	4871.94130275543	4808.90042550029	0.00832976264326449	0.00906026567031826	0.0187896980736243	176	0.990939734329682	HVO_RS18115
HVO_RS18120	3314.40649821976	2317.3060885002	0.284540765735212	0.726928912726399	0.516301934377975	194	0.273071087273601	HVO_RS18120
HVO_RS18125	461.02179766949	40.0140090888512	0.714883067058561	0.97328779934325	3.52625787690898	398	0.0267122006567497	HVO_RS18125
HVO_RS18130	569.679455224348	206.48115982598	0.485945355788502	0.932964489036756	1.46414022782382	437	0.0670355109632437	HVO_RS18130
HVO_RS18135	1664.71761810847	2054.47357252041	-0.167586262104721	0.274664313187261	-0.303491295393088	350	0.725335686812739	HVO_RS18135
