	X00_mean	p0_mean	theta	prob	log2FC	length	P	ncbi_id
lcl|NC_013967.1_cds_WP_004042004.1_3099	12.7402643193233	3.03842585307455	0.668034723605476	0.938551349333558	2.0679992179318	1157	0.0614486506664419	lcl|NC_013967.1_cds_WP_004042004.1_3099
lcl|NC_013967.1_cds_WP_004044687.1_3828	10.7623875997595	20.1706427875558	-0.409170334733668	0.919581149189788	-0.906258889258756	1352	0.0804188508102123	lcl|NC_013967.1_cds_WP_004044687.1_3828
lcl|NC_013967.1_cds_WP_004044201.1_1774	128.968399938127	136.516862829079	-0.0694649139281936	0.19468324427325	-0.0820615493590183	455	0.80531675572675	lcl|NC_013967.1_cds_WP_004044201.1_1774
lcl|NC_013967.1_cds_WP_004044203.1_1773	19.452930039198	20.7488390787991	-0.0510580538778985	0.112018960234847	-0.0930431450969034	1262	0.887981039765153	lcl|NC_013967.1_cds_WP_004044203.1_1773
lcl|NC_013967.1_cds_WP_013035638.1_1772	151.533459606893	176.933754978531	-0.245793473487385	0.804087034628863	-0.223572922391853	980	0.195912965371137	lcl|NC_013967.1_cds_WP_013035638.1_1772
lcl|NC_013967.1_cds_WP_004044207.1_1769	6220.64158532745	9617.27017602151	-1.67255400525445	0.998998112304472	-0.628564063944096	359	0.00100188769552811	lcl|NC_013967.1_cds_WP_004044207.1_1769
lcl|NC_013966.1_cds_935	10.2716195647325	26.3354728492581	-0.696889137206116	0.957473769231447	-1.35834368836355	1169	0.0425262307685533	lcl|NC_013966.1_cds_935
lcl|NC_013967.1_cds_WP_004044211.1_1766	0.743949243729115	2.82331317168756	-0.622314229624362	0.946812804929982	-1.92411306511348	824	0.0531871950700183	lcl|NC_013967.1_cds_WP_004044211.1_1766
lcl|NC_013967.1_cds_WP_004044213.1_1764	3.85812542137018	2.86042206021746	0.151393006459884	0.529572252579	0.43167200895796	1229	0.470427747421	lcl|NC_013967.1_cds_WP_004044213.1_1764
lcl|NC_013967.1_cds_WP_013035348.1_3249	5.13897373996538	2.77415937690264	0.418372620917103	0.899358370705477	0.889429606399493	4193	0.100641629294523	lcl|NC_013967.1_cds_WP_013035348.1_3249
lcl|NC_013967.1_cds_WP_004044069.1_1901	6.07053754862095	8.2068670933726	-0.194561642867987	0.701446853062973	-0.435007316288096	989	0.298553146937027	lcl|NC_013967.1_cds_WP_004044069.1_1901
lcl|NC_013967.1_cds_WP_004044215.1_1762	66.1556783005791	41.0920129971437	0.402445490311796	0.895985034509478	0.687006985459271	524	0.104014965490522	lcl|NC_013967.1_cds_WP_004044215.1_1762
lcl|NC_013967.1_cds_WP_004042076.1_3163	15.1759499911122	41.1370418981448	-0.53062968814381	0.930887711183496	-1.4386512257988	257	0.0691122888165039	lcl|NC_013967.1_cds_WP_004042076.1_3163
lcl|NC_013967.1_cds_WP_049914892.1_1761	4.68877805671027	7.853321348874	-0.266589984992099	0.829564757675194	-0.744090941018977	734	0.170435242324806	lcl|NC_013967.1_cds_WP_049914892.1_1761
lcl|NC_013966.1_cds_710	6.72264209355546	1.54710985137467	0.486273667905666	0.911948758593661	2.11945270613338	455	0.0880512414063395	lcl|NC_013966.1_cds_710
lcl|NC_013967.1_cds_WP_004042086.1_3172	1.37046579451864	2.28480966253588	-0.185587132759172	0.678076483943328	-0.73740766533718	758	0.321923516056672	lcl|NC_013967.1_cds_WP_004042086.1_3172
lcl|NC_013967.1_cds_WP_004042325.1_3405	35.6488898275861	29.3225474999378	0.17612214083308	0.609603424611435	0.28184670102804	893	0.390396575388565	lcl|NC_013967.1_cds_WP_004042325.1_3405
lcl|NC_013967.1_cds_WP_004041777.1_2877	2020.32181880914	1650.01481987942	0.777090149243602	0.940170218000074	0.292106137090478	305	0.0598297819999255	lcl|NC_013967.1_cds_WP_004041777.1_2877
lcl|NC_013967.1_cds_WP_004043015.1_3734	287.057327928558	341.503254107668	-0.259616572676022	0.821819658899572	-0.250560440855393	227	0.178180341100428	lcl|NC_013967.1_cds_WP_004043015.1_3734
lcl|NC_013967.1_cds_WP_004041695.1_2800	1.13673404701011	1.53672202679876	-0.139202199922309	0.51048391428603	-0.434961466335883	1127	0.48951608571397	lcl|NC_013967.1_cds_WP_004041695.1_2800
lcl|NC_013967.1_cds_WP_004044218.1_1759	129.698452736888	116.892424790155	0.116686082221306	0.387182539582888	0.149979829686072	452	0.612817460417112	lcl|NC_013967.1_cds_WP_004044218.1_1759
lcl|NC_013967.1_cds_WP_004044219.1_1758	1517.46026319081	967.319891683444	1.20880904865239	0.982022430666484	0.649593766526278	173	0.0179775693335161	lcl|NC_013967.1_cds_WP_004044219.1_1758
lcl|NC_013967.1_cds_1753	3.15930769662242	5.73713946601862	-0.32217502610272	0.875145071735624	-0.860723136050838	811	0.124854928264376	lcl|NC_013967.1_cds_1753
