	X00_mean	X04_mean	theta	prob	log2FC	length	P	ncbi_id
lcl|NC_013967.1_cds_WP_004045277.1_1239	725.393387013958	184.663089647309	1.48866636125257	0.986449686298712	1.97386806308725	512	0.0135503137012885	lcl|NC_013967.1_cds_WP_004045277.1_1239
lcl|NC_013967.1_cds_WP_004045021.1_1108	24.497701640125	20.6017548243165	0.124965628286775	0.35064592954353	0.249879173697644	419	0.64935407045647	lcl|NC_013967.1_cds_WP_004045021.1_1108
lcl|NC_013966.1_cds_WP_004040972.1_1060	0.89666432337431	1.38752907710957	-0.248623748116798	0.732456336204482	-0.629878103141834	1427	0.267543663795518	lcl|NC_013966.1_cds_WP_004040972.1_1060
lcl|NC_013967.1_cds_WP_004045004.1_1101	2.17238035951499	1.55900385809251	0.114375071930499	0.304436724095443	0.478652226730431	890	0.695563275904557	lcl|NC_013967.1_cds_WP_004045004.1_1101
lcl|NC_013967.1_cds_WP_004045259.1_1222	4.18324447494054	15.0215666007783	-0.600552115483586	0.962847773646522	-1.84434106074583	605	0.0371522263534776	lcl|NC_013967.1_cds_WP_004045259.1_1222
lcl|NC_013967.1_cds_WP_004043003.1_3722	149.52393713689	798.481623765865	-2.92010382001823	0.999999999999998	-2.41688274336233	638	1.55431223447522e-15	lcl|NC_013967.1_cds_WP_004043003.1_3722
lcl|NC_013967.1_cds_WP_004044976.1_1093	177.338471421764	141.340383502095	0.325772668358308	0.835985190805985	0.327331816691701	245	0.164014809194015	lcl|NC_013967.1_cds_WP_004044976.1_1093
lcl|NC_013964.1_cds_WP_004041091.1_150	228.242268389295	602.896442578266	-1.16537344151503	0.988722688148807	-1.40134422635349	185	0.0112773118511926	lcl|NC_013964.1_cds_WP_004041091.1_150
lcl|NC_013967.1_cds_WP_049914909.1_1184	24.9689708318807	23.4228358521952	0.0490916014082988	0.0558393781102833	0.0922206011073915	1280	0.944160621889717	lcl|NC_013967.1_cds_WP_049914909.1_1184
lcl|NC_013967.1_cds_WP_004042220.1_3304	90.626268311821	38.1719105946753	0.787948305211234	0.975573590659919	1.24741788195889	566	0.0244264093400808	lcl|NC_013967.1_cds_WP_004042220.1_3304
lcl|NC_013967.1_cds_WP_004044602.1_1391	68.8007185977799	73.4870214687729	-0.065817541555512	0.109994118096988	-0.0950658448868495	1244	0.890005881903012	lcl|NC_013967.1_cds_WP_004044602.1_1391
lcl|NC_013966.1_cds_WP_004043394.1_509	13.4889664183838	21.6941527059752	-0.249172434041582	0.733398219318634	-0.685526433749053	860	0.266601780681366	lcl|NC_013966.1_cds_WP_004043394.1_509
lcl|NC_013968.1_cds_WP_013035727.1_30	530.454816875456	808.356195756532	-1.36752679971476	0.992057663408727	-0.607761274849427	206	0.00794233659127297	lcl|NC_013968.1_cds_WP_013035727.1_30
lcl|NC_013966.1_cds_WP_004043279.1_829	2.89936734050243	34.2006292366197	-1.4469034662626	0.992828277704745	-3.56021283371935	1775	0.00717172229525509	lcl|NC_013966.1_cds_WP_004043279.1_829
lcl|NC_013967.1_cds_WP_004043741.1_2219	47.6209419912607	28.6221814536856	0.385174512416995	0.878483126629497	0.734462526914221	455	0.121516873370503	lcl|NC_013967.1_cds_WP_004043741.1_2219
lcl|NC_013967.1_cds_WP_004044464.1_1519	88.763435277537	358.788963976932	-1.26485550245699	0.991303286158586	-2.01509810676772	206	0.00869671384141402	lcl|NC_013967.1_cds_WP_004044464.1_1519
lcl|NC_013966.1_cds_WP_013035110.1_703	119.214920133506	967.128800568138	-4.33224353072616	1	-3.02014323310992	374	3.33066907387547e-16	lcl|NC_013966.1_cds_WP_013035110.1_703
lcl|NC_013967.1_cds_WP_004045284.1_1246	24.2566822645524	14.0167032250981	0.412510319360019	0.897433638535293	0.791235175080237	422	0.102566361464707	lcl|NC_013967.1_cds_WP_004045284.1_1246
lcl|NC_013967.1_cds_WP_004044967.1_1089	150.198692287648	57.0208255348418	1.01238717990224	0.983945145916163	1.39731142045312	659	0.0160548540838374	lcl|NC_013967.1_cds_WP_004044967.1_1089
lcl|NC_013967.1_cds_WP_004044963.1_1087	12.5032414384718	9.59193153273052	0.154324536032106	0.467102701530718	0.382408893030946	1178	0.532897298469282	lcl|NC_013967.1_cds_WP_004044963.1_1087
lcl|NC_013967.1_cds_WP_004044961.1_1086	157.183666347884	33.0401821180539	1.58189523946167	0.994527116723215	2.25015776449115	428	0.00547288327678541	lcl|NC_013967.1_cds_WP_004044961.1_1086
lcl|NC_013967.1_cds_WP_004043779.1_2182	3114.34647559202	17896.9009502264	-5.99226139421495	1	-2.52270842984935	275	0	lcl|NC_013967.1_cds_WP_004043779.1_2182
lcl|NC_013967.1_cds_WP_004044957.1_1084	7.89737868947957	14.3931276060524	-0.334561798143078	0.854553438438399	-0.865934345494224	1127	0.145446561561601	lcl|NC_013967.1_cds_WP_004044957.1_1084
